x,y,y_pred
2015-07,95,
2015-08,64,
2015-09,138,
2015-11,34,
2015-12,118,
2016-01,153,
2016-02,56,
2016-03,103,
2016-04,112,
2016-05,65,
2016-06,70,
2016-07,26,
2016-08,13,
2016-09,123,
2016-10,113,
2016-11,34,
2016-12,77,
2017-01,80,
2017-02,73,
2017-03,157,
2017-04,96,
2017-05,44,
2017-06,15,
2017-07,7,
2017-08,142,
2017-09,213,
2017-10,19,
2017-11,164,
2017-12,32,
2018-01,53,
2018-02,12,
2018-03,96,
2018-04,77,
2018-05,25,
2018-06,5,
2018-10,20,
2018-12,13,
2019-01,7,
2019-02,47,
2019-03,6,
2019-04,60,
2019-05,3,
2019-06,1,
2019-07,39,
2019-09,178,
2019-11,59,
2019-12,168,
2020-01,52,
2020-02,187,187
2020-03,,104
2020-04,,153
2020-05,,113
2020-06,,173
2020-07,,86
2020-08,,137
