num,city
37,贵州
128,天津
117,重庆
138,河北
117,山西
120,辽宁
156,安徽
176,湖北
125,湖南
445,广东
121,海南
134,四川
176,云南
121,甘肃
200,广西
141,宁夏
139,北京
79,浙江
17,吉林
28,河南
48,山东
36,福建
53,江苏
28,黑龙江
25,青海
28,内蒙古
14,西藏
22,新疆
27,江西
20,上海
39,陕西
11,台湾
2,澳门
2,香港
