,0,1,year
0,加油,332397,all
1,吸毒,192811,all
2,喜欢,123001,all
3,我们,94368,all
4,自己,90550,all
5,微笑,86816,all
6,什么,79269,all
7,没有,78982,all
8,柯震东,75539,all
9,还是,73086,all
10,支持,72592,all
11,不是,69507,all
12,可以,65222,all
13,爱心,65148,all
14,不要,65114,all
15,就是,63185,all
16,一个,63015,all
17,一直,62877,all
18,生日快乐,61527,all
19,你们,61360,all
0,加油,159856,2014
1,新年快乐,34470,2014
2,我们,32256,2014
3,喜欢,30384,2014
4,支持,30191,2014
5,凯凯,26370,2014
6,没有,26064,2014
7,柯震東,25185,2014
8,还是,22493,2014
9,自己,21458,2014
10,永远,20890,2014
11,一直,20743,2014
12,吸毒,20281,2014
13,快乐,19935,2014
14,柯震东,19269,2014
15,鲜花,18258,2014
16,什么,16766,2014
17,时代,16529,2014
18,不要,16304,2014
19,希望,15916,2014
0,加油,112068,2015
1,吸毒,43927,2015
2,生日快乐,40457,2015
3,喜欢,39299,2015
4,微笑,36079,2015
5,我们,33150,2015
6,爱心,31648,2015
7,自己,27365,2015
8,一直,25050,2015
9,心心,24679,2015
10,还是,23798,2015
11,支持,23518,2015
12,柯震东,23124,2015
13,柯震東,22913,2015
14,什么,21632,2015
15,快乐,21107,2015
16,那些,20285,2015
17,希望,19328,2015
18,可以,18986,2015
19,永远,18669,2015
0,吸毒,95379,2016
1,加油,48121,2016
2,喜欢,40157,2016
3,微笑,34057,2016
4,自己,31906,2016
5,什么,31632,2016
6,不是,29196,2016
7,你们,29104,2016
8,原谅,27170,2016
9,没有,26770,2016
10,可以,26652,2016
11,柯震东,26517,2016
12,一个,26055,2016
13,就是,24829,2016
14,不要,23568,2016
15,警察,23098,2016
16,缉毒,23008,2016
17,我们,22981,2016
18,别人,21349,2016
19,还是,20644,2016
0,吸毒,29759,2017
1,喜欢,12384,2017
2,加油,11425,2017
3,自己,8864,2017
4,什么,8281,2017
5,原谅,7587,2017
6,你们,7384,2017
7,不是,7300,2017
8,缉毒,7113,2017
9,可以,7004,2017
10,没有,6940,2017
11,警察,6554,2017
12,一个,6437,2017
13,就是,6316,2017
14,柯震东,6203,2017
15,不要,6039,2017
16,别人,5791,2017
17,还是,5688,2017
18,真的,5632,2017
19,微笑,5563,2017
0,吸毒,3465,2018
1,缉毒,1474,2018
2,警察,1284,2018
3,可以,1165,2018
4,原谅,1152,2018
5,什么,958,2018
6,自己,957,2018
7,加油,927,2018
8,你们,924,2018
9,不是,920,2018
10,一个,896,2018
11,没有,855,2018
12,一颗,834,2018
13,喜欢,777,2018
14,萝卜,753,2018
15,田里,749,2018
16,大萝卜,746,2018
17,不要,737,2018
18,就是,717,2018
19,不能,673,2018
